batch,seq,tokens,status,detail,decode_tpot_ms,host2_free_gb_before,host2_free_gb_after,h1_rank0_log,h2_rank1_log,h2_rank7_log
16,512,20,OK,,349.961,7.0,7.0,/workspace/afd_demo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b16_s512_t20/h1_rank0.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b16_s512_t20/h2_rank1.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b16_s512_t20/h2_rank7.log
32,128,20,OK,,457.763,7.0,7.0,/workspace/afd_demo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b32_s128_t20/h1_rank0.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b32_s128_t20/h2_rank1.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b32_s128_t20/h2_rank7.log
32,256,20,OK,,447.339,7.0,7.0,/workspace/afd_demo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b32_s256_t20/h1_rank0.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b32_s256_t20/h2_rank1.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b32_s256_t20/h2_rank7.log
32,512,20,OK,,460.368,7.0,7.0,/workspace/afd_demo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b32_s512_t20/h1_rank0.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b32_s512_t20/h2_rank1.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b32_s512_t20/h2_rank7.log
64,128,20,OK,,629.825,7.0,7.0,/workspace/afd_demo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b64_s128_t20/h1_rank0.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b64_s128_t20/h2_rank1.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b64_s128_t20/h2_rank7.log
64,256,20,OK,,611.960,7.0,7.0,/workspace/afd_demo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b64_s256_t20/h1_rank0.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b64_s256_t20/h2_rank1.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b64_s256_t20/h2_rank7.log
64,512,20,OK,,627.110,7.0,7.0,/workspace/afd_demo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b64_s512_t20/h1_rank0.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b64_s512_t20/h2_rank1.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b64_s512_t20/h2_rank7.log
128,128,20,OK,,886.328,7.0,7.0,/workspace/afd_demo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b128_s128_t20/h1_rank0.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b128_s128_t20/h2_rank1.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b128_s128_t20/h2_rank7.log
128,256,20,OK,,846.869,7.0,7.0,/workspace/afd_demo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b128_s256_t20/h1_rank0.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b128_s256_t20/h2_rank1.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b128_s256_t20/h2_rank7.log
128,512,20,OK,,913.161,7.0,7.0,/workspace/afd_demo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b128_s512_t20/h1_rank0.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b128_s512_t20/h2_rank1.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b128_s512_t20/h2_rank7.log
256,128,20,OK,,1309.064,7.0,7.0,/workspace/afd_demo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b256_s128_t20/h1_rank0.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b256_s128_t20/h2_rank1.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b256_s128_t20/h2_rank7.log
256,256,20,OK,,1369.714,7.0,7.0,/workspace/afd_demo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b256_s256_t20/h1_rank0.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b256_s256_t20/h2_rank1.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b256_s256_t20/h2_rank7.log
256,512,20,OK,,1432.878,7.0,7.0,/workspace/afd_demo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b256_s512_t20/h1_rank0.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b256_s512_t20/h2_rank1.log,/workspace/afd_demo_repo_exp_1a7f/results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/b256_s512_t20/h2_rank7.log
